104*K205905V02N49*25022025D004*A2C779610110000224B070022E*-986*2025.01.07 06:03:16*324*-986,FAIL,"writeData: Error WriteEcuDataFailed occurred writing data REG_X_SW_ID_NUMBERS Value: <                                                                                                    >"*177*0*025D*Default*6.16.0.77*ok,0.199200,0.05,0.5*ok,0.105576,0.05,0.5*Default*
103*K205905V02N49*25022025C001*A2C779610110000224B0700231*0*2025.01.07 06:02:03*479**254*0*025C*Z301963*6.16.0.77*ok,0.294115,0.05,0.5*ok,0.203388,0.05,0.5*ok,0.343965,0.05,0.5*
1*K205905V02N49*25022025B002*A2C779610110000224B0700232*0*2025.01.07 06:02:28*475**253*0*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.100000,0.05,0.5*ok,0.239000,0.05,0.5*
0*K205905V02N49*25022025A003*A2C779610110000224B0700230*0*2025.01.07 06:02:52*474**256*0*025A*Z301963*6.16.0.77*ok,0.192000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.240000,0.05,0.5*
103*K205905V02N49*25022025C004*A2C779610110000224B070022E*0*2025.01.07 06:11:03*484**258*1*025C*Z301963*6.16.0.77*ok,0.290127,0.05,0.5*ok,0.204385,0.05,0.5*ok,0.346956,0.05,0.5*
1*K205905V02N49*25022025B017*A2C779610110000224B0700225*-1000*2025.01.07 06:11:58*438*-1000,ERROR,"Error StartCommunicationFailed occurred reading BOOT_SW_ID"*204*0*025B*Default*6.16.0.77*ok,0.188000,0.05,0.5*ok,0.098000,0.05,0.5*ok,0.237000,0.05,0.5*
0*K205905V02N49*25022025A018*A2C779610110000224B0700227*0*2025.01.07 06:12:53*482**254*0*025A*Z301963*6.16.0.77*ok,0.215000,0.05,0.5*ok,0.104000,0.05,0.5*ok,0.247000,0.05,0.5*
103*K205905V02N49*25022025C017*A2C779610110000224B0700225*0*2025.01.07 06:19:58*481**258*1*025C*Z301963*6.16.0.77*ok,0.291124,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.337983,0.05,0.5*
1*K205905V02N49*25022025B020*A2C779610110000224B070022C*0*2025.01.07 06:21:10*474**254*0*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.100000,0.05,0.5*ok,0.238000,0.05,0.5*
0*K205905V02N49*25022025A021*A2C779610110000224B070022D*0*2025.01.07 06:22:06*474**255*0*025A*Z301963*6.16.0.77*ok,0.192000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.241000,0.05,0.5*
0*K205905V02N49*25022025A024*A2C779610110000224B0700234*-1000*2025.01.07 06:31:01*320*-1000,FAIL,"writeData: Error StartCommunicationFailed occurred writing data REG_X_SW_ID_NUMBERS Value: <                                                                                                    >"*176*0*025A*Default*6.16.0.77*ok,0.195000,0.05,0.5*ok,0.105000,0.05,0.5*Default*
1*K205905V02N49*25022025B023*A2C779610110000224B0700233*0*2025.01.07 06:30:04*476**253*0*025B*Z301963*6.16.0.77*ok,0.189000,0.05,0.5*ok,0.100000,0.05,0.5*ok,0.236000,0.05,0.5*
1*K205905V02N49*25022025B024*A2C779610110000224B0700234*0*2025.01.07 06:38:53*481**257*1*025B*Z301963*6.16.0.77*ok,0.195000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.241000,0.05,0.5*
